"Ingredient ID",19335,2014,11215,4513,5061,1256,2031,2047,11530,11546,11977,11282,11216,11165,1053,2013
"Ingredient Description","Sugars, granulated","Spices, cumin seed","Garlic, raw","Vegetable oil, palm kernel","Chicken, broilers or fryers, breast, meat and skin, cooked, stewed","Yogurt, Greek, plain, nonfat","Spices, pepper, red or cayenne","Salt, table","Tomatoes, red, ripe, cooked","Tomato products, canned, paste, without salt added","Peppers, serrano, raw","Onions, raw","Ginger root, raw","Coriander (cilantro) leaves, raw","Cream, fluid, heavy whipping","Spices, coriander seed"
"Portion size","tsp","tsp, whole","clove","tablespoon","unit (yield from 1 lb ready-to-cook chicken)","100g","tsp","tsp","100g","tbsp","pepper","medium (2-1/2"" dia)","tsp","cup","cup, fluid (yields 2 cups whipped)","tsp"
"Quantity",2,0.5,8,5,2,2.45,2,2,7.93,1,1,1,0.1875,0.5,0.6666667,0.5
"18:2 n-6 c,c",0,0,0,0,0,0.0245,0,0,0,0,0,0,0,0,0,0,0.0245
"8:0",0.0,0.0,0.0,2.244,0.0,0.009800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,2.625e-05,0.0,0.6552933660979998,0,2.9091196160979997
"15:0",0,0,0,0,0,0.007350000000000001,0,0,0,0,0,0.0,0,0,0,0,0.007350000000000001
"Caffeine",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
"15:1",0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0
"Folate, food",0.0,0.105,0.72,0.0,3.96,17.150000000000002,3.8160000000000003,0.0,103.09,1.92,1.4029999999999998,20.9,0.04125,1.24,6.346666984,0.0,160.691916984
"18:3 undifferentiated",0.0,0.0018479999999999998,0.0048,0.0,0.07919999999999999,0.0024500000000000004,0.023760000000000003,0.0,0.01586,0.0011200000000000001,0.000366,0.0044,0.0001275,0.0,0.8536267093480001,0,0.9875582093480001
"22:1 t",0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
"Carbohydrate, by difference",8.398320000000002,0.46452000000000004,7.9344,0.0,0.0,8.82,2.0386800000000003,0.0,31.7993,3.0256,0.40869999999999995,10.274000000000001,0.0666375,0.07339999999999999,4.42680022134,0.49491,78.22526772134002
"Serine",0,0,0.0456,0.0,1.26192,0,0,0.0,0.22203999999999996,0.02016,0,0.0231,0.00016875,0,0.176120008806,0,1.749108758806
"20:3 n-6",0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
