"Ingredient ID",11136,11216,11215,11670,11283,11291,11823,2009,2030,16123,11549,19335,20019,11291,20481,20019,16123,2030
"Ingredient Description","Cauliflower, cooked, boiled, drained, without salt","Ginger root, raw","Garlic, raw","Peppers, hot chili, green, raw","Onions, cooked, boiled, drained, without salt","Onions, spring or scallions (includes tops and bulb), raw","Peppers, sweet, red, cooked, boiled, drained, without salt","Spices, chili powder","Spices, pepper, black","Soy sauce made from soy and wheat (shoyu)","Tomato products, canned, sauce","Sugars, granulated","Corn flour, masa, unenriched, white","Onions, spring or scallions (includes tops and bulb), raw","Wheat flour, white, all-purpose, unenriched","Corn flour, masa, unenriched, white","Soy sauce made from soy and wheat (shoyu)","Spices, pepper, black"
"Portion size","cup (1"" pieces)","tsp","tsp","pepper","medium","tbsp chopped","100g","tsp","tsp, ground","tsp","cup","tsp","cup","tbsp chopped","cup","cup","tsp","tsp, ground"
"Quantity",1.5,1.5,1.5,2.5,1,1,0.05,0.5,0.5,1.5,0.0625,0.25,0.0208333,1,0.1875,0.1875,1,0.25
"8:0",0.0,0.00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0011729999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005864999999999999,0.0019694999999999995
"15:0",0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
"Caffeine",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"15:1",0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
"Folate, food",40.92,0.33,0.126,25.875,14.1,3.84,0.8,0.37800000000000006,0.19549999999999998,1.113,1.684375,0.0,0.688748898,3.84,6.09375,6.19875,0.742,0.09774999999999999,107.02287389800001
"18:3 undifferentiated",0.15531,0.00102,0.0008399999999999999,0.005625,0.00376,0.00024,0.0005,0.007195500000000001,0.0017479999999999998,0.0023055000000000003,0.000459375,0.0,0.0012349980239999999,0.00024,0.00515625,0.011115,0.001537,0.0008739999999999999,0.19916062302400003
"Carbohydrate, by difference",3.8223000000000007,0.5331,1.38852,10.6425,9.541,0.4404,0.335,0.6709500000000002,0.735425,0.3919349999999999,0.8238125,1.0497900000000002,1.81188460098,0.4404,17.88515625,16.3069875,0.26128999999999997,0.3677125,67.44816335098
"Serine",0.08928000000000001,0.00135,0.007980000000000001,0.09,0.0376,0.00492,0.00185,0.0031050000000000006,0.004703499999999999,0.030846000000000005,0.005971875,0,0.010829982672000001,0.00492,0.1209375,0.09747,0.020564,0.0023517499999999997,0.5346796076720001
"Glutamic acid",0.22785,0.00486,0.03381,0.29700000000000004,0.20679999999999998,0.02268,0.0060999999999999995,0.021465,0.0162495,0.12553050000000002,0.09876562500000001,0,0.041063684297999996,0.02268,0.8153906250000001,0.36957375,0.08368699999999998,0.00812475,2.4016304342979997
"Sodium, Na",13.95,0.39,0.714,7.875,2.82,0.96,0.1,54.0,0.23,436.6935,80.2375,0.0105,0.11874981,0.96,0.46875,1.06875,291.12899999999996,0.115,891.84074981
"Vitamin B-12, added",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Phosphorus, P",29.76,1.02,6.425999999999999,51.75,32.9,2.22,0.9,4.05,1.817,13.197000000000001,3.98125,0.0,5.082491868,2.22,25.3125,45.7425,8.798,0.9085,236.08524186800003
"Tocotrienol, gamma",0,0,0,0,0,0,0,0.03847500000000001,0.0,0,0,0,0,0,0,0,0,0.0,0.03847500000000001
